pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_refname,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_bmassj,pl_dens,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_logg,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
HD 96700 b,1,3,Radial Velocity,2021,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,8.12450000,0.077700,,,0.02800,,,,,,,5845.00,,0.89,4.39,,11h07m53.82s,166.9742616,-30d10m30.50s,-30.1751383,25.4111000,6.5100000
WASP-189 b,1,1,Transit,2020,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,2.72403300,0.050530,1.619,1.99000,1.99000,0.62199,3353,84.030,2458926.541696,,4.3336000,8000.00,2.36,2.03,3.90,,15h02m44.82s,225.6867320,-03d01m53.35s,-3.0314874,99.7310000,6.5977600
HD 63433 b,1,2,Transit,2020,<a refstr=MANN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..179M/abstract target=ref>Mann et al. 2020</a>,7.10793000,0.071900,0.192,,,,,89.380,2458916.452600,0.046700,3.2160000,5640.00,0.91,0.99,,1.8230,07h49m55.05s,117.4793699,+27d21m47.28s,27.3631342,22.4035000,6.9203500
HD 63433 b,1,2,Transit,2020,<a refstr=ZHANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...68Z/abstract target=ref>Zhang et al. 2022</a>,7.10778900,,,,,,,,2458916.451420,,,5640.00,0.91,0.99,,1.8230,07h49m55.05s,117.4793699,+27d21m47.28s,27.3631342,22.4035000,6.9203500
HD 93385 b,1,3,Radial Velocity,2021,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,7.34260000,0.075600,,,0.01321,,,,,,,5977.00,,1.04,4.42,,10h46m15.05s,161.5627065,-41d27m52.57s,-41.4646040,43.3475000,7.4900000
HD 86226 c,1,2,Transit,2020,<a refstr=TESKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...96T/abstract target=ref>Teske et al. 2020</a>,3.98442000,0.049000,0.193,0.02281,0.02281,3.97000,1311,86.450,2458543.253900,,3.1200000,5863.00,1.05,1.02,4.40,1.2330,09h56m29.64s,149.1235154,-24d05m57.07s,-24.0991859,45.6830000,7.9300000
HD 39194 b,1,3,Radial Velocity,2021,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,5.63680000,0.056000,,,0.01259,,,,,,,5205.00,,0.67,4.53,,05h44m30.98s,86.1290710,-70d08m17.66s,-70.1382377,26.4131000,8.0900000
MASCARA-4 b,2,1,Transit,2020,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,2.82406000,0.047000,1.530,3.10000,3.10000,,2100,88.500,2458505.817000,,3.9600000,7800.00,1.92,1.75,4.10,0.3550,09h50m19.22s,147.5800667,-66d06m50.13s,-66.1139253,170.6960000,8.1910000
HIP 94235 b,2,1,Transit,2022,<a refstr=ZHOU_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411975Z/abstract target=ref>Zhou et al. 2022</a>,7.71305700,0.078700,0.268,1.19247,1.19247,,1060,87.140,2459037.870400,,2.4700000,5991.00,1.08,1.09,4.46,,19h10m57.87s,287.7411441,-60d16m21.49s,-60.2726358,58.5146000,8.3100000
HD 22496 b,1,1,Radial Velocity,2021,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A..60L/abstract target=ref>Lillo-Box et al. 2021</a>,5.09071000,0.051000,,,0.01753,,573,,2458602.560000,,,4385.00,0.67,0.68,4.69,,03h35m01.57s,53.7565398,-48d25m04.14s,-48.4178173,13.5956000,8.5700000
