pl_name,disc_year,pl_radj,pl_bmassj,pl_eqt,st_rad,Atm height,Atm scale Height,Precision,Surface Gravity,Surface Gravity 2,rastr,decstr,sy_vmag
GJ 367 b,2021,0.064,0.00172,1745.0,0.46,0.12688664882480027,567.7294403833992,0.039405249065280215,10.883771167945392,1088.3771167945392,09h44m29.15s,-45d46m44.46s,10.152999999999999
TOI-500 b,2022,0.10400000000000001,0.00447,1617.0,0.68,0.07351988265141278,534.5442456684636,0.06800881366618883,10.711535901079595,1071.1535901079594,07h06m14.18s,-47d35m16.14s,10.54
TOI-561 b,2020,0.129,0.01007,2480.0,0.83,0.06208417146440868,559.9072799510275,0.0805358255101524,15.684148771957068,1568.4148771957068,09h52m44.44s,+06d12m57.97s,10.252
TOI-178 b,2021,0.10300000000000001,0.00472,1040.0,0.65,0.044350399321217565,319.3598189954011,0.11273855650738104,11.531304818113425,1153.1304818113424,00h29m12.48s,-30d27m14.82s,11.955
TOI-431 b,2021,0.114,0.00966,1862.0,0.73,0.04294141693020936,342.23682348689675,0.1164377041429784,19.265413148576837,1926.5413148576836,05h33m04.62s,-26d43m25.93s,9.12
HD 137496 b,2021,0.11699999999999999,0.012709999999999999,2130.0,1.59,0.038316769262240334,313.4153477394206,0.13049116865203203,24.06493706568948,2406.4937065689483,15h26m58.09s,-16d30m32.41s,9.899
GJ 1252 b,2020,0.106,0.00658,1089.0,0.39,0.03428284226529804,254.05526527458062,0.14584555041578706,15.178367586727589,1517.8367586727588,20h27m42.88s,-56d27m44.23s,12.68
HD 110113 b,2021,0.183,0.01432,1371.0,0.97,0.034238481537804205,438.03730635046566,0.1460345136649615,11.082857307535031,1108.285730753503,12h40m08.78s,-44d18m43.48s,10.09
TOI-178 d,2021,0.22899999999999998,0.009470000000000001,690.0,0.65,0.03260645339734766,522.0168958327915,0.15334387763885785,4.680474866837883,468.04748668378824,00h29m12.48s,-30d27m14.82s,11.955
LTT 3780 b,2020,0.12,0.007359999999999999,1000.0,0.38,0.03186195359879009,267.3001245654017,0.1569269751302967,13.247265041211879,1324.7265041211879,10h18m34.78s,-11d43m04.08s,13.14
